Pollen type,Growth form,AM mycorrhiza,EM mycorrhiza,Ericoid mycorrhiza,Clonality,Seed weight (mg),Height (m),LDMC (mg/g),SNPS,SLA (mm2/mg),L,T,K,F,R,N
Geum,Herbaceous,1,0,0,0.3,1.3,0.5,NA,238.6,40.4,5.0,5.0,5.0,6.5,NA,5.5
Hepatica,Herbaceous,1,0,0,0.5,3.0,0.1,176.8,49.0,22.9,4.0,6.0,4.0,4.0,7.0,5.0
Hieracium,Herbaceous,1,0,0,0.5,0.7,0.4,173.6,835.2,20.8,6.0,6.0,NA,4.0,4.0,2.0
Hypericum perforatum,Herbaceous,1,0,0,0.5,0.1,0.5,NA,13755.0,25.6,7.5,6.0,4.0,5.0,4.5,2.5
Impatiens,Herbaceous,1,0,0,0.0,NA,0.6,NA,19.5,NA,4.0,5.0,5.0,7.0,7.0,6.0
Juniperus,Woody,1,1,0,0.0,NA,2.5,NA,5500.5,NA,NA,NA,NA,NA,NA,NA
Lemna,Herbaceous,0,0,0,0.9,NA,0.0,NA,NA,NA,7.0,5.0,3.0,11.0,NA,6.0
Listera ovata,Herbaceous,0,0,0,0.5,NA,0.5,NA,85500.0,NA,6.0,NA,3.0,6.0,7.0,7.0
Lychnis,Herbaceous,1,0,0,0.5,0.2,0.7,NA,5500.5,26.0,7.0,5.0,3.0,7.0,NA,NA
Lycopodium annotinum,Herbaceous,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lycopus europeus,Herbaceous,1,0,0,0.5,0.4,0.5,NA,2078.0,NA,7.0,6.0,5.0,9.0,7.0,7.0
Lysimachia,Herbaceous,1,0,0,0.6,0.1,0.5,198.0,972.5,25.8,5.7,6.0,2.5,7.7,NA,3.0
Lythrum,Herbaceous,1,0,0,0.1,0.0,0.7,NA,5500.5,NA,7.0,5.0,5.0,8.0,6.0,NA
Melampyrum,Herbaceous,0.3,0.3,0,0.0,5.1,0.3,154.9,87.5,41.9,5.0,5.0,4.0,4.7,3.7,2.7
Mentha,Herbaceous,0.7,0,0,0.5,0.2,0.3,218.7,161.5,27.1,7.3,5.7,3.4,4.7,6.4,2.6
Menyanthes trifoliata,Herbaceous,1,0,0,0.9,2.6,0.2,184.6,48.5,19.3,8.0,NA,NA,9.0,NA,3.0
Mercurialis perennis,Herbaceous,1,0,0,0.5,5.8,0.3,NA,14.0,NA,2.0,NA,3.0,NA,8.0,7.0
Myrica,Woody,1,0,0,0.9,1.6,0.8,NA,14370.0,NA,8.0,6.0,2.0,9.0,3.0,3.0
Nuphar,Herbaceous,0,0,0,0.5,25.4,0.0,NA,NA,NA,8.0,6.0,4.0,11.0,7.0,6.0
Orthilia secunda,Herbaceous,0,1,0,0.5,0.0,0.1,334.6,3558.0,18.0,4.0,NA,3.0,5.0,NA,2.0
Oxalis acetosella,Herbaceous,1,0,0,0.5,1.5,0.1,NA,11.2,60.8,1.0,NA,3.0,5.0,4.0,6.0
Parnassia palustris,Herbaceous,1,0,0,0.5,0.0,0.3,133.7,1792.0,23.6,8.0,NA,NA,8.0,7.0,2.0
Phragmites,Herbaceous,1,0,0,0.9,0.2,2.4,NA,1680.0,12.2,7.0,5.0,NA,10.0,7.0,7.0
Picea,Woody,0,1,0,0.0,7.2,40.0,NA,80374.5,17.2,5.0,3.0,6.0,NA,NA,NA
Pinguicula,Herbaceous,0,1,0,0.5,0.0,0.1,NA,NA,40.4,8.0,NA,3.0,8.0,7.0,2.0
Pinus,Woody,0,1,0,0.0,8.5,30.0,555.8,22353.0,5.0,7.0,NA,7.0,NA,NA,NA
Plantago lanceolata,Herbaceous,1,0,0,0.1,1.5,0.3,NA,1500.0,16.2,6.0,NA,3.0,NA,NA,NA
Plantago major/media,Herbaceous,1,0,0,0.3,0.3,0.3,NA,6480.0,20.3,7.5,NA,7.0,4.5,7.0,4.5
Poaceae,Herbaceous,0.97,0,0,0.4,0.9,0.6,278.6,1400.0,21.6,6.8,4.9,3.8,6.1,5.6,4.5
Polygala,Herbaceous,1,0,0,0.0,0.8,0.1,195.5,NA,22.4,9.0,NA,4.0,9.0,9.0,1.0
Polygonum,Herbaceous,1,0,0,0.5,31.2,0.3,167.2,17.0,27.7,7.0,5.0,5.0,3.0,7.0,3.0
Polypodiaceae,Herbaceous,1,0.25,0,0.5,NA,0.6,179.0,1834146.0,72.3,3.5,4.0,3.5,6.0,4.3,5.0
Populus,Woody,1,1,0,0.5,0.1,22.5,365.4,NA,14.6,6.0,5.0,5.0,5.0,NA,NA
