tank,color,label,ID,treatment,hatching,hatching_date,days_until_hatching_trt,sampling_date,days_until_sampling,floating,feeding,weight,area,density
S1,E,E1,S1E1,C,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S1,E,E2,S1E2,C,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S1,E,E3,S1E3,C,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S1,E,E4,S1E4,C,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S10,E,E5,S10E5,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S10,E,E6,S10E6,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S10,E,E7,S10E7,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S2,E,E8,S2E8,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S2,E,E9,S2E9,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S3,E,E10,S3E10,C,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S3,E,E11,S3E11,C,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S4,E,E12,S4E12,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S4,E,E13,S4E13,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S4,E,E14,S4E14,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S4,E,E15,S4E15,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S4,E,E16,S4E16,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S4,E,E17,S4E17,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S4,E,E18,S4E18,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S4,E,E19,S4E19,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S4,E,E20,S4E20,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S4,E,E21,S4E21,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S4,E,E22,S4E22,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S4,E,E23,S4E23,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S5,E,E24,S5E24,C,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S5,E,E25,S5E25,C,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S6,E,E26,S6E26,C,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S7,E,E27,S7E27,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S7,E,E28,S7E28,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S7,E,E29,S7E29,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S7,E,E30,S7E30,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S7,E,E31,S7E31,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S7,E,E32,S7E32,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S7,E,E33,S7E33,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S8,E,E34,S8E34,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S8,E,E35,S8E35,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S8,E,E36,S8E36,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S8,E,E37,S8E37,A,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S9,E,E38,S9E38,C,0,NA,43,NA,NA,NA,NA,NA,NA,NA
S1,G,G1,S1G1,C,1,18.10.2019,9,05.11.2019,18,0,1,1.46,14.32,0.102
