Pollen type	Growth form	AM mycorrhiza	EM mycorrhiza	Ericoid mycorrhiza	Clonality	Seed weight (mg)	Height (m)	LDMC (mg/g)	SNPS	SLA (mm2/mg)	L	T	K	F	R	N
Rosa	Woody	1	0	0	0.5	12.2	1	NA	NA	NA	7	6	7	5	8	3
Rubus	Herbaceous	1	0	0	0.5	3.4	1	NA	200	NA	6	5	4	NA	8	7
Rumex	Herbaceous	0.7	0	0	0.3	1.5	0.9	129.1	2809.9	17.7	7.3	5.5	5	7.5	7	6.3
Salix	Woody	0.7	1	0	0.2	0.1	4.3	NA	8903450.5	NA	7.3	4.5	5	7	6.7	5
Sambucus	Woody	1	1	0	0	1293	2	172.2	21926	31	6	4	4	5	5	8
Scheuchzeria	Herbaceous	0	0	0	0.5	NA	0.2	292.9	0	9.8	9	5	5	9	3	2
Scutellaria	Herbaceous	1	0	0	0.5	0.8	0.4	NA	288	NA	7	6	5	9	7	6
Selaginella	Herbaceous	1	0	0	0	NA	0	NA	NA	24.5	8	3	3	7	7	3
Senecio	Herbaceous	1	0	0	0.5	0.4	0.3	NA	3204.5	19.6	6.5	NA	3	5.5	8	4
Solanum dulcamara	Herbaceous	1	0	0	0.5	1.6	1.8	57.7	53459	NA	7	5	NA	8	NA	8
Solanum nigrum	Herbaceous	1	0	0	0.5	0.7	0.6	125.9	3900	24.6	7	6	3	5	7	8
Sorbus	Woody	1	0.3	0	0.1	16	10.3	235.7	24750	19.4	6	5.5	3.5	5	6	NA
Spergularia	Herbaceous	1	0	0	0	0.1	0.2	108.7	1974	29.4	7	6	NA	7	7	5
Succisa	Herbaceous	1	0	0	0.1	1.6	0.5	NA	550.5	15.6	7	5	3	7	NA	2
Taraxacum officinale	Herbaceous	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Thelypteris	Herbaceous	1	0	0	0.5	NA	0.4	143.7	NA	31.2	5	6	NA	8	5	6
Tilia	Woody	1	1	0	0.1	40	18	NA	NA	NA	5	5	4	5	NA	5
Tofieldia	Herbaceous	1	0	0	0.5	0.1	0.3	231.8	NA	17.5	8	NA	4	8	8	2
Trifolium	Herbaceous	1	0	0	0.3	1.2	0.3	207.8	916.1	26.4	7.2	5.7	3.7	4.3	6	3.7
Trollius	Herbaceous	1	0	0	0.5	1	0.4	NA	173	NA	9	3	5	7	6	5
Typha sparganium	Herbaceous	1	0	0	0.5	0.3	1.3	NA	207500.3	NA	8	6	5	10	7	8
Ulmus	Woody	1	0	0	0	13.2	35	234.4	NA	35.2	4	5	3	6	7	7
Urtica	Herbaceous	1	0	0	0.5	0.1	0.7	NA	806.2	31.6	NA	NA	NA	6	7	8
Vaccinium	Herbaceous	0	0	1	0.8	0.2	0.3	418.6	139.3	14.9	5.5	NA	5	NA	1.5	3
Valeriana officinalis	Herbaceous	1	0	0	0.5	1	0.5	NA	398	22.2	7	6	5	8	7	5
Veronica	Herbaceous	0.8	0	0	0.5	0.2	0.2	215.9	276.4	27	6.8	5	3	7	4.3	4.3
Viburnum	Woody	1	0	0	0	36.6	3	NA	3640	17.9	6	5	3	NA	7	6
Vicia	Herbaceous	1	0.1	0	0.2	17.3	0.5	244.7	98.3	28.4	6.5	5.7	4.3	5.1	6.9	4
Viola	Herbaceous	1	0	0	0.4	1.2	0.1	164.9	848	35.4	5.3	5	4.7	4	6.7	2
